date,time,type,intervalms,requested_bytes,totalms
28/02/2013,17:56:36,nursery,1292398.181,48,142.823
28/02/2013,18:08:45,nursery,728594.898,96,112.897
28/02/2013,18:19:30,nursery,645626.644,65552,118.005
28/02/2013,18:30:28,nursery,657771.579,65552,115.597
28/02/2013,18:38:43,nursery,494272.782,65552,130.656
28/02/2013,18:49:17,nursery,634773.839,880,119.481
28/02/2013,18:59:38,nursery,620516.738,432,122.222
28/02/2013,19:08:26,nursery,527499.337,304,128.718
28/02/2013,19:32:24,nursery,1438281.000,40,146.909
28/02/2013,19:58:18,nursery,1553917.830,160,125.736
28/02/2013,20:23:18,nursery,1499483.928,24,123.766
28/02/2013,20:53:38,nursery,1819815.101,176,105.984
